ticker,base,quote,exchange,price,ask,bid,volume
xem-bnb,xem,bnb,binance,0.002402,0.002409,0.002383,64974.0
wan-btc,wan,btc,binance,2.15e-05,2.152e-05,2.149e-05,7679206.0
wan-eth,wan,eth,binance,0.000832,0.000836,0.000831,455439.09
wan-bnb,wan,bnb,binance,0.01002,0.01006,0.00998,140945.2
wpr-btc,wpr,btc,binance,7.3e-07,7.3e-07,7.2e-07,9621735.0
wpr-eth,wpr,eth,binance,0.0,0.0,0.0,0.0
qlc-btc,qlc,btc,binance,1.32e-06,1.33e-06,1.32e-06,97230244.0
qlc-eth,qlc,eth,binance,5.148e-05,5.148e-05,5.117e-05,906738.0
sys-btc,sys,btc,binance,2.71e-06,2.71e-06,2.7e-06,990692.0
sys-eth,sys,eth,binance,0.00010514,0.0001058,0.00010453,50119.0
sys-bnb,sys,bnb,binance,0.0,0.0,0.0,0.0
qlc-bnb,qlc,bnb,binance,0.0,0.0,0.0,0.0
grs-btc,grs,btc,binance,2.235e-05,2.247e-05,2.236e-05,957987.0
grs-eth,grs,eth,binance,0.00087302,0.00087302,0.00086217,102665.0
ada-usd,ada,usd,binance,0.04302,0.04304,0.04302,299137308.8
ada-bnb,ada,bnb,binance,0.002658,0.002658,0.002654,3193131.0
cloak-btc,cloak,btc,binance,0.0,0.0,0.0,0.0
cloak-eth,cloak,eth,binance,0.0,0.0,0.0,0.0
gnt-btc,gnt,btc,binance,5.36e-06,5.36e-06,5.33e-06,20570666.0
gnt-eth,gnt,eth,binance,0.00020755,0.00020878,0.00020755,1593776.0
gnt-bnb,gnt,bnb,binance,0.0,0.0,0.0,0.0
loom-btc,loom,btc,binance,2e-06,2.01e-06,2e-06,16021899.0
loom-eth,loom,eth,binance,7.755e-05,7.854e-05,7.757e-05,1537831.0
loom-bnb,loom,bnb,binance,0.000935,0.000941,0.00093,162993.0
xrp-usd,xrp,usd,binance,0.19529,0.19529,0.19528,85293164.9
bcn-btc,bcn,btc,binance,0.0,0.0,0.0,0.0
bcn-eth,bcn,eth,binance,0.0,0.0,7e-06,0.0
bcn-bnb,bcn,bnb,binance,0.0,0.0,0.0,0.0
rep-btc,rep,btc,binance,0.001356,0.001357,0.001356,16081.295
rep-eth,rep,eth,binance,0.05243,0.05302,0.05255,2035.785
rep-bnb,rep,bnb,binance,0.0,0.0,0.0,0.0
tusd-btc,tusd,btc,binance,0.0,0.0,0.0,0.0
tusd-eth,tusd,eth,binance,0.0,0.0,0.0,0.0
